,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,acc_phone_X_outlier,acc_phone_Y_outlier,acc_phone_Z_outlier,lin_acc_phone_X_outlier,lin_acc_phone_Y_outlier,lin_acc_phone_Z_outlier,gyr_phone_X_outlier,gyr_phone_Y_outlier,gyr_phone_Z_outlier,mag_phone_X_outlier,mag_phone_Y_outlier,mag_phone_Z_outlier
2025-06-04 11:54:56.334940032,-6.298613504153847,-1.102549544,-7.500141836384614,-0.0191985229803846,0.0010676959560307,-0.0460293265953846,-0.0007238279414484,0.0015210030383923,0.00011719402396,,,,,,,,8.583482595538463,-9.546258926384615,30.074249853846155,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:56.584940032,-6.301998772230769,-1.0992103340769233,-7.501857499384615,-0.0295700030030583,-0.00445080310175,-0.0409662750358333,-4.039554433333335e-05,0.0024377478593999,0.0012119546833816,,,,,,,,8.462123235083332,-9.265068372166668,29.948103586666665,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:56.834940032,-6.297915916416668,-1.0921912765833337,-7.500540046666665,-0.0193669677704,0.0043487092163846,-0.0418012949123076,-0.0003184798070184,8.818854633846148e-05,-0.0009742181998692,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.193631476,3.0,8.30971468423077,-9.104908356307694,29.88692004846154,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:57.084940032,-6.300087362384616,-1.098887927923077,-7.5041604028461535,-0.0282839079200833,0.0034075441025811,-0.0403661558016666,0.0002494337252833,0.0002141066748916,-0.00041832846685,,,,,,,,8.1650066375,-8.846648057333333,30.0946000425,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:57.334940032,-6.295271415666666,-1.0914802550833334,-7.503508873083333,-0.0238030253923077,0.0062283922668153,-0.0421576602176923,-4.6109229946153835e-05,-0.0005008429646615,-0.0002085627773538,,,,,,,,7.973772489076923,-8.579464105538461,30.134525005384617,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:57.584940032,-6.294433734538463,-1.0946160420000002,-7.506636023846154,-0.0244273768365,0.0036319005485,-0.048923945725,0.0003125121583825,-0.0012463085003916,-0.0009882338150521,,,,,,,,7.758157730083333,-8.309664169916667,30.347387950833337,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:57.834940032,-6.29746685025,-1.0996757125,-7.506739654666667,-0.0252183214518461,0.0015543473453846,-0.0448166140684615,-0.0006687097641692,-0.0004518593912307,-0.0001943008704846,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.051222832,3.0,7.429412841769231,-7.979236346076923,30.352620638461545,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:58.084940032,-6.297542654076922,-1.0924743417692306,-7.508317143307693,-0.0245305801921666,0.0063675143015916,-0.0446178124841666,0.0009074231420866,-0.0002110288477333,-0.0009294350069249,,,,,,,,7.1729024250833335,-7.530195951416666,30.651587804166667,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:58.334940032,-6.299550018333332,-1.0926403428333331,-7.503434028749999,-0.025229521118923,0.0099368707273846,-0.0413169205646153,0.0007598545591046,-0.000555702807523,-0.0010399660274692,,,,,,,,6.890825711846154,-7.17306771653846,30.686573616153847,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:58.584940032,-6.296045766999999,-1.0948233033076924,-7.5057839497692305,-0.0215088365981666,0.0081603619833833,-0.0409292426716666,-0.0003147275844666,-0.0007395054951083,-0.00051959160674,,,,,,,,6.687001546249999,-6.9570944309166665,30.8139101675,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:58.834940032,-6.300048980583333,-1.0978170776666667,-7.50606605525,-0.0252620856111538,0.0067192772657692,-0.0483826509815384,0.0018681645519615,-0.003479878436023,-0.0021120711417923,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.145477352,3.0,6.682500986076923,-7.06146185223077,30.88006151538461,,False,False,False,False,False,False,False,False,False,False,False,False
